sourcetype,scope,security_classification,security_relevance,data_models,vendor,description,expanded_desc,exclude,exclude_reason,reviewed_by,reviewed_date,provenance
389ds,security,IAM,med,Authentication.Authentication,389 Directory Server,389 Directory Server logs,"389 Directory Server access/audit log - bind, search, modify, delete operations on the LDAP directory. Authentication and Identity_Management data model contributor on Red Hat IdM hosts.",N,,AI Analysis,3/25/2026,human_curated
aide,security,EPP,med,Change.All_Changes,AIDE,AIDE file integrity monitoring logs,AIDE (Advanced Intrusion Detection Environment) report log - filesystem integrity scan diff output. Feeds the Change data model for Linux baseline drift.,N,,AI Analysis,3/25/2026,human_curated
akamai:cm:json,security,WAF,high,"Web.Web, Network_Traffic.All_Traffic",Akamai,Akamai SIEM connector events,Akamai Connector for SIEM JSON output - WAF/Kona/Bot Manager events delivered via the Cloud Monitor connector. Feeds the Web and IDS data models.,N,,MDI Reference,4/3/2026,human_curated
akamai:siem,security,WAF,high,"Alerts.Alerts, Web.Web",Akamai,Akamai security event interface,Akamai SIEM connector event stream - WAF and bot-management security events delivered via the SIEM Integration API.,N,,MDI Reference,4/3/2026,human_curated
akamaisiem,security,WAF,high,"Web.Web, Alerts.Alerts",Akamai,Akamai SIEM connector events,Concatenated form of akamai:siem produced by older add-on versions - same Akamai WAF/Bot Manager event payload.,N,,AI Analysis,5/27/2026,human_curated
am:cw:agent,operational,,low,,Amazon Web Services,AWS CloudWatch agent logs,"AWS CloudWatch agent operational and diagnostic logs from EC2 or on-premises servers - agent startup, metric/log collection cycles, configuration reloads, and errors.",N,,AI Analysis,3/25/2026,human_curated
amazon:ecs:events,operational,,low,Application_State.All_Application_State,Amazon Web Services,Amazon ECS task events,"Amazon ECS task and service lifecycle events (start, stop, fail, scale, deployment) emitted via EventBridge or the ECS event stream.",N,,MDI Reference,4/3/2026,human_curated
amazon-ssm-agent.log,operational,,low,,Amazon Web Services,AWS SSM agent logs,"AWS SSM agent operational log written on managed instances - agent startup, command and association processing, plugin execution, and communication errors with the SSM service.",N,,AI Analysis,5/27/2026,human_curated
app:rds:agent,operational,,low,Databases.All_Databases,Amazon Web Services,AWS RDS agent logs,"Auxiliary agent log lines from an RDS instance, forwarded via the RDS log groups (e.g., backup agent, monitoring agent, or vendor extension agents).",N,,AI Analysis,3/25/2026,human_curated
app:rds:error,operational,,low,Databases.All_Databases,Amazon Web Services,AWS RDS error logs,"RDS database engine error log: connection failures, query errors, restart and crash messages, replication issues.",N,,AI Analysis,3/25/2026,human_curated
app:rds:postgresql,operational,,low,Databases.All_Databases,Amazon Web Services,AWS RDS postgresql logs,"RDS PostgreSQL engine log: client connections, query errors, autovacuum activity, checkpoint events, and slow queries.",N,,AI Analysis,3/25/2026,human_curated
app:rds:rds-events,operational,,low,Databases.All_Databases,Amazon Web Services,AWS RDS rds-events logs,"RDS service-level instance events emitted by the RDS control plane: failovers, scheduled backups, parameter group changes, maintenance events.",N,,AI Analysis,3/25/2026,human_curated
aws:alb:accesslogs,"security,operational",,med,"Web.Web, Network_Sessions.All_Sessions",Amazon Web Services,AWS ALB access logs,"AWS Application Load Balancer access logs delivered to S3 - HTTP request and response details, target group routing decisions, TLS cipher/protocol, and request/target processing times.",N,,MDI Reference,4/3/2026,human_curated
aws:cloudtrail,security,CSPM,high,"Authentication.Authentication, Change.All_Changes",Amazon Web Services,AWS CloudTrail API activity logs,"AWS CloudTrail API activity logs capturing every authenticated request to the AWS API: identity (IAM user/role/assumed-role), source IP, user agent, request parameters, and response. Core data source for AWS audit and threat detection.",N,,AI Analysis,3/25/2026,human_curated
aws:cloudwatch:dynamodb:metrics,operational,,none,Performance.Performance,Amazon Web Services,AWS DynamoDB CloudWatch metrics,"CloudWatch metrics for DynamoDB tables, indexes, and streams: consumed read/write capacity, throttled events, system errors, latency.",N,,AI Analysis,3/25/2026,human_curated
aws:cloudwatch:ebs:metrics,operational,,none,Performance.Performance,Amazon Web Services,AWS EBS CloudWatch metrics,"CloudWatch metrics for EBS volumes: read/write throughput and IOPS, queue depth, burst balance, idle time, volume status.",N,,AI Analysis,3/25/2026,human_curated
aws:cloudwatch:ec2:metrics,operational,,none,Performance.Performance,Amazon Web Services,AWS EC2 CloudWatch metrics,"CloudWatch metrics for EC2 instances: CPU utilization, network in/out, EBS throughput, status check pass/fail, CPU credit balance for T-family instances.",N,,AI Analysis,3/25/2026,human_curated
aws:cloudwatch:elasticache:metrics,operational,,none,Performance.Performance,Amazon Web Services,AWS ElastiCache CloudWatch metrics,"CloudWatch metrics for ElastiCache (Redis and Memcached) clusters: client connections, CPU/memory utilization, evictions, cache hits and misses, replication lag.",N,,AI Analysis,3/25/2026,human_curated
aws:cloudwatch:elb:metrics,operational,,none,Performance.Performance,Amazon Web Services,AWS ELB CloudWatch metrics,"CloudWatch metrics for Classic, Application, and Network Load Balancers: request count, latency, HTTP 4xx/5xx counts, healthy/unhealthy host counts, target connection errors.",N,,AI Analysis,3/25/2026,human_curated
aws:cloudwatch:events,"security,operational",,med,"Change.All_Changes, Alerts.Alerts",Amazon Web Services,AWS CloudWatch Events/EventBridge,"AWS CloudWatch Events / EventBridge stream - near-real-time events for AWS service state changes (e.g., EC2 instance state, S3 object created, RDS snapshot complete) and custom application events.",N,,MDI Reference,4/3/2026,human_curated
aws:cloudwatch:guardduty,security,CTD,high,"Alerts.Alerts, Intrusion_Detection.IDS_Attacks",Amazon Web Services,AWS GuardDuty threat detection findings,GuardDuty threat findings delivered through CloudWatch Events/EventBridge (vs. the aws:guardduty modular input path).,N,,AI Analysis,3/25/2026,human_curated
